Date,AAL,DAL,JBLU,LUV
2016-03-14,42.59,47.889999,20.110001,43.82
2016-03-15,42.110001,47.759998,20.26,43.619999
2016-03-16,42.310001,48.77,20.26,44.150002
2016-03-17,42.099998,48.619999,19.870001,43.599998
2016-03-18,43.439999,50.049999,20.309999,44.5
2016-03-21,43.470001,50.119999,20.17,44.990002
2016-03-22,42.759998,49.389999,20.129999,44.610001
2016-03-23,41.919998,48.91,20.57,44.43
2016-03-24,40.5,47.84,20.24,44.060001
2016-03-28,40.91,48.200001,20.790001,43.810001
2016-03-29,41.349998,49.130001,21.040001,44.639999
2016-03-30,41.380001,49.330002,21.280001,44.98
2016-03-31,41.009998,48.68,21.120001,44.799999
